Monthly Report for the month of March 2024,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch,2024","No. of Foliosas on March,2024","FundsMobilizedfor themonth ofMarch 2024(INR incrore)","Repurchase/Redemptionfor themonth ofMarch 2024(INR incrore)","Net AssetsUnderManagement as onMarch, 2024(INR incrore)","Average NetAssets UnderManagement for themonthMarch 2024(INR incrore)","No. ofsegregatedportfolioscreatedas onMarch,2024","NetAssetsUnderManagement insegregatedportfolio as onMarch,2024(INR incrore)"
xii,Credit Risk Fund,14,"2,30,733",91.98,362.73,"24,146.22","24,203.73",3,-
xiii,Banking and PSU Fund,23,"2,81,393",663.45,"1,648.11","80,387.62","80,471.08",-,-
xiv,Gilt Fund,22,"1,81,526",643.99,388.96,"23,664.51","23,491.66",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,330",87.13,305.29,"4,028.93","4,236.76",-,-
xvi,Floater Fund,13,"2,29,032","5,077.70","2,753.09","63,406.37","62,516.33",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",316,"72,69,214","8,68,745.94","8,94,618.44","13,99,584.65","14,53,276.60",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,21,"46,66,295","4,544.51","1,122.37","90,065.33","86,591.83",-,-
ii,Large Cap Fund,30,"1,30,04,992","3,633.49","3,982.47","2,62,299.28","2,62,556.79",-,-
iii,Large & Mid Cap Fund,26,"81,92,387","3,829.53","1,716.37","1,59,363.07","1,56,286.86",-,-
iv,Mid Cap Fund,29,"1,16,25,895","5,282.68","2,770.34","2,39,462.22","2,31,993.43",-,-
v,Small Cap Fund,24,"1,38,46,150","6,734.90","2,470.08","1,94,020.17","1,85,823.78",-,-
vi,Dividend Yield Fund,9,"7,75,683",586.53,170.23,"17,732.42","17,435.86",-,-
vii,Value Fund/Contra Fund,23,"51,83,298","2,342.17",977.55,"1,12,731.06","1,11,174.52",-,-
viii,Focused Fund,27,"51,81,471","1,675.21","2,146.31","1,11,637.01","1,11,288.87",-,-
ix,Sectoral/Thematic Funds,136,"1,39,26,575","8,336.77","3,530.96","2,12,650.64","2,07,582.76",-,-
x,ELSS,42,"1,53,81,023","1,766.34","1,793.03","1,76,213.88","1,75,092.61",-,-
xi,Flexi Cap Fund,36,"1,30,00,422","6,090.39","3,897.53","2,83,765.41","2,80,250.68",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),403,"10,47,84,191","44,822.51","24,577.26","18,59,940.50","18,26,077.99",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,28,375",743.38,476.16,"25,082.38","24,780.66",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,30,"53,16,778","2,745.34","2,138.01","1,71,832.59","1,71,147.83",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,20,241","6,793.94","3,177.93","2,09,563.08","2,08,285.38",-,-
iv,Multi Asset Allocation Fund,13,"12,19,116","2,082.07",464.74,"35,288.31","36,097.49",-,-
v,Arbitrage Fund,26,"4,42,592","16,390.06","6,907.41","98,939.38","1,10,690.40",-,-
vi,Equity Savings Fund,22,"3,71,658","2,104.19",613.05,"20,516.57","20,125.46",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),140,"1,21,98,760","30,858.99","13,777.30","5,61,222.30","5,71,127.23",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,91,050",313.88,189.49,"21,266.35","21,011.59",-,-
ii,Childrens Fund,10,"29,40,947",130.65,64.14,"16,525.25","16,388.69",-,-
"",Sub Total - IV (i+ii),36,"57,31,997",444.52,253.62,"37,791.59","37,400.28",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,189,"51,13,123","3,753.19","1,767.51","1,80,749.63","1,79,561.68",-,-
ii,GOLD ETF,13,"47,95,268","1,050.28",22.23,"24,318.09","23,701.99",-,-
iii,Other ETFs,169,"1,23,34,415","10,229.63","8,336.76","5,46,424.21","5,47,863.92",-,-
iv,Fund of funds investing overseas,50,"13,82,783",268.41,639.83,"23,548.65","23,344.74",-,-
"",Sub Total - V (i+ii+iii+iv),421,"2,36,25,589","15,301.51","10,766.33","7,75,040.58","7,74,472.34",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,316","15,36,09,751","9,60,173.48","9,43,992.95","46,33,579.62","46,62,354.44",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,87,"1,12,076",188.01,"1,703.83","18,018.46","19,418.59",-,-
ii,Capital Protection Oriented Schemes,-,-,-,43.25,-,8.37,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"2,207.58","2,201.10",-,-
iv,Other Debt Scheme,1,"2,24,580",115.18,301.04,"5,290.15","5,281.32",-,-
"",Sub Total (i+ii+iii+iv),95,"3,36,708",303.19,"2,048.12","25,516.19","26,909.38",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,88,784",-,27.89,"3,776.63","3,766.14",-,-
ii,Other Equity Schemes,3,"3,635",-,84.07,316.39,350.17,-,-
"",Sub Total (i+ii),22,"2,92,419",-,111.96,"4,093.02","4,116.31",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,117,"6,29,127",303.19,"2,160.08","29,609.21","31,025.68",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,699",95.96,33.67,291.35,267.79,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,699",95.96,33.67,291.35,267.79,-,-
"",,,,,,,,,
"",Grand Total,"1,445","15,42,41,577","9,60,572.63","9,46,186.70","46,63,480.18","46,93,647.92",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,76,"18,94,366",774.64,832.94,"69,237.59","68,918.46",-,-
Monthly Report for the month of July 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onJuly 31,2023","No. of Foliosas on July31, 2023","FundsMobilizedfor themonth ofJuly 2023(INR incrore)","Repurchase/Redemptionfor themonth ofJuly 2023(INR incrore)","Net AssetsUnderManagement as on July31, 2023(INR incrore)","Average NetAssets UnderManagement for themonth July2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onJuly 31,2023","NetAssetsUnderManagement insegregatedportfolio as onJuly 31,2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,34,"7,20,682","4,49,157.43","4,59,904.26","79,007.97","1,02,623.38",-,-
ii,Liquid Fund,36,"17,99,501","3,92,319.07","3,40,380.66","4,74,197.60","4,93,489.12",-,-
iii,Ultra Short Duration Fund,24,"6,47,116","19,109.72","16,244.72","1,00,630.10","1,00,606.98",-,-
iv,Low Duration Fund,21,"9,33,671","13,189.38","6,161.96","1,06,720.43","1,04,663.47",1,-
v,Money Market Fund,23,"4,34,366","33,268.70","24,660.56","1,49,582.08","1,48,130.87",-,-
vi,Short Duration Fund,24,"5,00,046","1,573.53","1,878.93","99,381.91","99,449.39",-,-
vii,Medium Duration Fund,15,"2,53,075",358.01,425.51,"27,404.16","27,372.85",3,-
viii,Medium to Long Duration Fund,12,"1,06,719",379.64,63.45,"10,256.31","10,050.72",-,-
ix,Long Duration Fund,7,"47,731",153.64,39.21,"9,314.87","9,267.32",-,-
x,Dynamic Bond Fund,22,"2,32,024",600.72,533.33,"30,410.42","30,343.44",-,-
xi,Corporate Bond Fund,21,"6,08,834","3,341.53","2,693.72","1,36,964.20","1,36,569.94",-,-
xii,Credit Risk Fund,14,"2,34,415",200.55,366.88,"24,293.69","24,317.27",3,-
xiii,Banking and PSU Fund,23,"2,85,661",419.28,"1,729.23","80,959.19","81,542.46",-,-
xiv,Gilt Fund,22,"1,81,427",829.83,361.13,"23,254.50","22,943.89",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,832",53.74,71.63,"4,219.45","4,228.02",-,-
xvi,Floater Fund,13,"2,31,370","3,754.10","1,753.62","60,641.06","60,353.12",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",316,"72,58,470","9,18,708.88","8,57,268.80","14,17,237.95","14,55,952.24",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,20,"44,53,227","3,907.23","1,406.76","85,031.06","80,849.48",-,-
ii,Large Cap Fund,30,"1,29,65,360","3,271.41","5,151.41","2,66,035.38","2,63,267.67",-,-
iii,Large & Mid Cap Fund,26,"80,81,426","3,553.20","2,226.42","1,55,885.27","1,51,855.93",-,-
iv,Mid Cap Fund,29,"1,13,13,470","4,713.40","3,090.07","2,29,879.03","2,22,719.75",-,-
v,Small Cap Fund,24,"1,30,15,548","6,261.14","2,089.70","1,82,493.47","1,75,208.16",-,-
vi,Dividend Yield Fund,9,"7,63,914",555.44,213.03,"17,368.37","16,784.95",-,-
vii,Value Fund/Contra Fund,23,"50,53,888","2,103.47","1,400.51","1,11,052.33","1,07,640.54",-,-
viii,Focused Fund,27,"52,01,169","1,689.89","2,756.60","1,12,684.55","1,11,195.92",-,-
ix,Sectoral/Thematic Funds,131,"1,35,65,765","6,192.16","4,762.82","2,06,710.11","2,01,135.52",-,-
x,ELSS,42,"1,53,25,099","1,592.52","2,184.40","1,76,490.06","1,73,767.24",-,-
xi,Flexi Cap Fund,35,"1,28,46,852","4,196.92","5,129.09","2,80,964.68","2,76,729.96",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),396,"10,25,85,718","38,036.78","30,410.82","18,24,594.32","17,81,155.13",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,23,207",591.90,427.68,"24,694.85","24,453.15",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,30,"52,99,241","2,469.18","2,786.28","1,71,714.04","1,69,516.19",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"44,43,098","4,174.69","3,755.65","2,11,100.28","2,08,465.92",-,-
iv,Multi Asset Allocation Fund,13,"11,78,713","1,944.04",562.54,"33,779.61","34,081.28",-,-
v,Arbitrage Fund,26,"4,38,865","15,906.66","5,831.79","90,745.63","99,966.28",-,-
vi,Equity Savings Fund,22,"3,66,513","1,429.08",730.87,"18,962.21","18,752.77",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),140,"1,22,49,637","26,515.55","14,094.81","5,50,996.61","5,55,235.60",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,82,143",237.68,160.30,"21,017.13","20,601.24",-,-
ii,Childrens Fund,10,"29,36,379",117.99,74.75,"16,447.17","16,171.10",-,-
"",Sub Total - IV (i+ii),36,"57,18,522",355.67,235.05,"37,464.29","36,772.34",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,186,"48,14,292","3,561.88","2,382.61","1,79,302.03","1,77,597.25",-,-
ii,GOLD ETF,13,"47,74,760",535.26,79.11,"23,329.41","22,738.17",-,-
iii,Other ETFs,167,"1,22,12,329","12,243.19","12,596.45","5,54,108.34","5,48,070.68",-,-
iv,Fund of funds investing overseas,50,"13,74,053",304.79,727.32,"24,403.79","24,088.96",-,-
"",Sub Total - V (i+ii+iii+iv),416,"2,31,75,434","16,645.12","15,785.50","7,81,143.56","7,72,495.06",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,304","15,09,87,781","10,00,262.00","9,17,794.98","46,11,436.74","46,01,610.36",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,89,"1,33,663",-,222.20,"19,432.83","19,411.88",-,-
ii,Capital Protection Oriented Schemes,1,520,-,76.35,43.21,94.98,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"2,192.10","2,068.10",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),97,"1,34,235",-,298.55,"21,668.14","21,574.96",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,90,341",-,31.90,"3,814.15","3,768.29",-,-
ii,Other Equity Schemes,4,"6,197",-,88.74,399.03,463.74,-,-
"",Sub Total (i+ii),23,"2,96,538",-,120.64,"4,213.18","4,232.03",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,120,"4,30,773",-,419.19,"25,881.33","25,806.98",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,716",0.00,1.75,246.59,269.88,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,716",0.00,1.75,246.59,269.88,-,-
"",,,,,,,,,
"",Grand Total,"1,436","15,14,21,270","10,00,262.01","9,18,215.92","46,37,564.66","46,27,687.23",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,76,"18,78,419",909.01,798.63,"69,308.61","68,604.52",-,-
Monthly Report for the month of June 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onJune 30,2023","No. of Foliosas on June30, 2023","FundsMobilizedfor themonth ofJune 2023(INR incrore)","Repurchase/Redemptionfor themonth ofJune 2023(INR incrore)","Net AssetsUnderManagement as on June30, 2023(INR incrore)","Average NetAssets UnderManagement for themonth June2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onJune 30,2023","NetAssetsUnderManagement insegregatedportfolio as onJune 30,2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,94,136","4,16,700.11","4,12,072.18","89,223.42","1,04,201.60",-,-
ii,Liquid Fund,36,"17,78,066","3,83,421.49","4,11,966.94","4,19,555.58","4,97,239.17",-,-
iii,Ultra Short Duration Fund,25,"6,37,819","18,357.09","20,243.66","97,161.27","99,418.43",-,-
iv,Low Duration Fund,21,"9,30,843","10,672.61","7,314.64","99,019.05","96,792.69",1,-
v,Money Market Fund,22,"4,28,088","34,749.13","27,922.10","1,40,034.52","1,38,006.29",-,-
vi,Short Duration Fund,25,"5,02,719","1,810.02","1,997.09","99,138.83","99,209.53",-,-
vii,Medium Duration Fund,15,"2,54,975",349.41,477.46,"27,349.42","27,483.14",3,-
viii,Medium to Long Duration Fund,12,"1,06,555",93.92,117.05,"9,883.63","9,900.76",-,-
ix,Long Duration Fund,7,"47,668",101.19,93.29,"9,183.13","9,254.31",-,-
x,Dynamic Bond Fund,22,"2,32,991",506.35,366.91,"30,210.28","30,166.17",-,-
xi,Corporate Bond Fund,21,"6,10,771","3,077.68","2,525.22","1,35,476.03","1,35,233.24",-,-
xii,Credit Risk Fund,15,"2,38,230",122.48,440.61,"24,324.53","24,479.58",3,-
xiii,Banking and PSU Fund,23,"2,89,473",504.82,"1,303.72","81,815.41","82,064.98",-,-
xiv,Gilt Fund,22,"1,80,688",628.87,232.55,"22,702.58","22,504.66",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,164",67.46,72.20,"4,230.47","4,233.98",-,-
xvi,Floater Fund,13,"2,32,214","6,193.17","4,345.68","58,174.50","56,859.02",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",316,"72,07,400","8,77,355.80","8,91,491.32","13,47,482.62","14,37,047.55",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,19,"42,81,290","2,331.48","1,596.80","78,415.29","76,283.71",-,-
ii,Large Cap Fund,31,"1,29,37,115","3,084.97","5,134.58","2,59,583.23","2,54,471.92",-,-
iii,Large & Mid Cap Fund,26,"79,86,403","3,533.76","2,387.07","1,48,217.80","1,44,273.15",-,-
iv,Mid Cap Fund,29,"1,10,49,628","4,800.96","3,052.46","2,18,145.99","2,11,811.37",-,-
v,Small Cap Fund,24,"1,22,67,299","7,357.35","1,885.60","1,68,434.33","1,62,184.19",-,-
vi,Dividend Yield Fund,9,"7,52,821",582.84,185.24,"16,236.99","15,669.63",-,-
vii,Value Fund/Contra Fund,23,"49,36,198","3,482.84","1,243.76","1,04,685.73","1,01,451.32",-,-
viii,Focused Fund,27,"52,32,806","1,877.97","2,896.28","1,09,698.36","1,07,903.80",-,-
ix,Sectoral/Thematic Funds,130,"1,33,44,178","5,035.07","4,575.81","1,96,178.07","1,91,586.55",-,-
x,ELSS,43,"1,53,01,801","1,574.12","2,048.97","1,71,034.49","1,67,341.38",-,-
xi,Flexi Cap Fund,36,"1,27,84,279","4,380.38","4,397.68","2,72,743.17","2,66,987.02",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),397,"10,08,73,818","38,041.74","29,404.25","17,43,373.45","16,99,964.04",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,19,553",498.78,388.64,"24,158.37","24,019.10",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,91,966","2,217.60","2,606.61","1,66,686.77","1,64,481.63",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"44,30,919","3,516.25","3,730.78","2,04,997.11","2,02,963.96",-,-
iv,Multi Asset Allocation Fund,13,"11,39,849","1,778.26",454.96,"31,148.94","31,587.77",-,-
v,Arbitrage Fund,26,"4,35,281","9,754.83","6,389.07","80,625.35","93,046.67",-,-
vi,Equity Savings Fund,22,"3,62,326","1,038.88",623.35,"17,888.93","17,879.99",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),141,"1,21,79,894","18,804.59","14,193.41","5,25,505.46","5,33,979.13",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,74,489",234.07,155.46,"20,199.11","19,820.51",-,-
ii,Childrens Fund,10,"29,33,164",116.35,69.28,"15,887.98","15,628.44",-,-
"",Sub Total - IV (i+ii),36,"57,07,653",350.42,224.74,"36,087.09","35,448.95",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,185,"44,95,761","3,458.51","4,364.25","1,75,468.05","1,75,540.56",-,-
ii,GOLD ETF,13,"47,52,363",203.65,133.32,"22,339.39","22,669.68",-,-
iii,Other ETFs,161,"1,21,24,531","7,638.46","4,236.10","5,38,872.98","5,26,095.63",-,-
iv,Fund of funds investing overseas,50,"13,48,079",293.19,803.13,"23,869.39","23,844.30",-,-
"",Sub Total - V (i+ii+iii+iv),409,"2,27,20,734","11,593.81","9,536.81","7,60,549.81","7,48,150.18",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,299","14,86,89,499","9,46,146.35","9,44,850.52","44,12,998.43","44,54,589.86",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,92,"1,34,471",-,"2,199.02","19,564.33","20,818.37",-,-
ii,Capital Protection Oriented Schemes,3,"2,883",-,257.64,119.12,170.26,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"2,055.17","2,050.38",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),102,"1,37,406",-,"2,456.66","21,738.61","23,039.01",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,92,193",-,34.80,"3,723.63","3,643.66",-,-
ii,Other Equity Schemes,5,"9,876",-,357.89,479.58,684.72,-,-
"",Sub Total (i+ii),24,"3,02,069",-,392.69,"4,203.21","4,328.38",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,126,"4,39,475",-,"2,849.35","25,941.83","27,367.39",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,734",1.01,469.89,246.94,356.33,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,734",1.01,469.89,246.94,356.33,-,-
"",,,,,,,,,
"",Grand Total,"1,437","14,91,31,708","9,46,147.36","9,48,169.77","44,39,187.20","44,82,313.58",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,76,"18,70,167",774.50,861.01,"67,690.49","67,482.95",-,-
Monthly Report for the month of May 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMay 31,2023","No. of Foliosas on May31, 2023","FundsMobilizedfor themonth ofMay 2023(INR incrore)","Repurchase/Redemptionfor themonth ofMay 2023(INR incrore)","Net AssetsUnderManagement as on May31, 2023(INR incrore)","Average NetAssets UnderManagement for themonth May2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onMay 31,2023","NetAssetsUnderManagement insegregatedportfolio as onMay 31,2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,73,564","4,18,088.02","4,36,998.29","81,980.67","1,11,508.98",-,-
ii,Liquid Fund,36,"17,75,895","3,02,744.38","2,57,510.16","4,42,875.10","4,38,809.24",-,-
iii,Ultra Short Duration Fund,25,"6,35,328","18,859.89","11,274.56","98,493.01","95,209.34",-,-
iv,Low Duration Fund,21,"9,33,719","11,398.18","9,651.14","95,128.78","93,741.59",1,-
v,Money Market Fund,22,"4,27,143","30,971.01","22,239.96","1,32,362.07","1,26,732.12",-,-
vi,Short Duration Fund,25,"5,03,633","5,608.55","1,553.67","98,984.83","96,688.24",-,-
vii,Medium Duration Fund,15,"2,55,984",256.81,465.47,"27,419.30","27,395.40",3,-
viii,Medium to Long Duration Fund,12,"1,06,803",527.53,338.39,"9,903.75","9,665.43",-,-
ix,Long Duration Fund,7,"47,319",100.06,28.62,"9,283.64","9,205.38",-,-
x,Dynamic Bond Fund,22,"2,32,928",407.68,694.82,"30,011.63","30,125.76",-,-
xi,Corporate Bond Fund,21,"6,11,354","2,678.18","2,056.39","1,34,409.10","1,33,366.57",-,-
xii,Credit Risk Fund,15,"2,41,153",81.15,370.60,"24,558.61","24,619.72",3,-
xiii,Banking and PSU Fund,23,"2,92,621","1,188.59","1,065.71","81,846.45","81,394.90",-,-
xiv,Gilt Fund,22,"1,79,210",451.63,579.19,"22,282.83","22,295.49",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,253",92.20,289.45,"4,246.44","4,317.15",-,-
xvi,Floater Fund,13,"2,33,630","1,422.65","3,801.06","55,375.04","57,063.77",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",316,"71,92,537","7,94,876.51","7,48,917.48","13,49,161.25","13,62,139.08",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,19,"42,12,703","1,758.90","1,654.35","74,016.91","72,328.06",-,-
ii,Large Cap Fund,31,"1,29,34,624","3,214.70","4,576.98","2,51,231.75","2,48,208.14",-,-
iii,Large & Mid Cap Fund,26,"79,10,456","3,183.22","2,049.96","1,40,558.18","1,37,151.16",-,-
iv,Mid Cap Fund,29,"1,08,20,927","4,166.65","2,971.00","2,04,479.88","1,98,222.74",-,-
v,Small Cap Fund,24,"1,15,81,947","5,126.02","1,843.52","1,53,806.54","1,48,187.93",-,-
vi,Dividend Yield Fund,9,"7,41,636",498.95,209.57,"15,209.50","14,844.05",-,-
vii,Value Fund/Contra Fund,22,"47,93,275","1,695.72","1,113.51","97,844.37","96,025.89",-,-
viii,Focused Fund,26,"52,58,096","1,589.04","2,532.83","1,06,413.05","1,04,727.77",-,-
ix,Sectoral/Thematic Funds,128,"1,32,09,299","4,142.48","4,311.32","1,86,684.60","1,82,539.39",-,-
x,ELSS,42,"1,52,82,099","1,444.49","1,949.09","1,63,766.51","1,60,986.24",-,-
xi,Flexi Cap Fund,35,"1,27,31,864","3,989.24","4,356.97","2,62,586.89","2,57,608.08",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),391,"9,94,76,926","30,809.40","27,569.10","16,56,598.17","16,20,829.45",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,17,334",380.74,357.20,"23,761.42","23,589.58",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,93,071","1,919.43","2,916.21","1,62,201.19","1,60,774.09",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"44,34,950","3,156.57","3,913.25","2,00,129.84","1,99,195.79",-,-
iv,Multi Asset Allocation Fund,12,"11,00,383","1,196.14",457.66,"29,000.01","29,995.62",-,-
v,Arbitrage Fund,26,"4,40,134","12,023.78","5,384.14","77,447.36","86,665.89",-,-
vi,Equity Savings Fund,22,"3,60,308",992.04,547.38,"17,138.44","17,133.63",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),140,"1,21,46,180","19,668.70","13,575.85","5,09,678.25","5,17,354.59",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,68,033",204.24,157.36,"19,450.72","19,106.92",-,-
ii,Childrens Fund,10,"29,31,011",117.08,64.17,"15,375.40","15,104.09",-,-
"",Sub Total - IV (i+ii),36,"56,99,044",321.32,221.53,"34,826.12","34,211.00",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,183,"42,54,905","3,257.18","3,148.50","1,74,304.19","1,72,662.41",-,-
ii,GOLD ETF,13,"47,28,425",131.75,28.63,"23,128.10","23,160.78",-,-
iii,Other ETFs,160,"1,20,83,023","9,317.26","4,793.52","5,19,609.76","5,10,236.25",-,-
iv,Fund of funds investing overseas,50,"13,22,852",276.77,524.98,"23,375.81","23,014.03",-,-
"",Sub Total - V (i+ii+iii+iv),406,"2,23,89,205","12,982.96","8,495.62","7,40,417.86","7,29,073.47",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,289","14,69,03,892","8,58,658.89","7,98,779.58","42,90,681.65","42,63,607.61",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,102,"1,45,305",102.64,"1,678.80","22,210.89","23,314.42",-,-
ii,Capital Protection Oriented Schemes,5,"7,865",-,276.01,375.04,485.34,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"2,042.16","2,025.34",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),114,"1,53,222",102.64,"1,954.81","24,628.09","25,825.09",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,94,088",-,33.77,"3,597.13","3,537.42",-,-
ii,Other Equity Schemes,7,"21,509",-,300.14,826.54,907.07,-,-
